Longitud,Tiempo
5000,0.025927
5000,0.017366
5000,0.017370
5000,0.017341
5000,0.017314
5000,0.017328
5000,0.017322
5000,0.017338
5000,0.017306
5000,0.023247

25000,0.450920
25000,0.444436
25000,0.443751
25000,0.449182
25000,0.449850
25000,0.452252
25000,0.453490
25000,0.448684
25000,0.454217
25000,0.459992

50000,1.803495
50000,1.828087
50000,1.830982
50000,1.824021
50000,1.794481
50000,1.790173
50000,1.824199
50000,1.851410
50000,1.827436
50000,1.858062

100000,7.550321
100000,7.539858
100000,7.210700
100000,7.500382
100000,7.598996
100000,7.597795
100000,7.526723
100000,7.602083
100000,7.618493
100000,7.549949

150000,17.809922
150000,18.346074
150000,18.554418
150000,18.298574
150000,18.926860
150000,18.282690
150000,18.170947
150000,17.931274
150000,17.870750
150000,18.580660

200000,42.819945
200000,43.207418
200000,42.757787
200000,43.735135
200000,42.582500
200000,42.628256
200000,43.468612
200000,43.021511
200000,43.759956
200000,43.428646

250000,90.021518
250000,91.585637
250000,90.423702
250000,89.495518
250000,90.010777
250000,91.274875
250000,90.709180
250000,91.328704
250000,90.596111
250000,90.180163

